"","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022890","inorganic cation transmembrane transporter activity","31/544","274/12387",1.26555979299374e-06,1.26555979299374e-06,2.87156257123727e-05,"42245/32249/37981/36694/34921/32780/48971/33028/35111/33599/7354472/40495/32619/318623/40665/43787/42476/34557/45248/7354434/49297/44307/31955/34681/36747/5740840/59223/37047/34991/40679/31235",31
"GO:0046873","metal ion transmembrane transporter activity","25/544","202/12387",2.72672149338923e-06,2.72672149338923e-06,5.86131822401675e-05,"42245/37981/36694/34921/32780/48971/33028/35111/33599/7354472/40495/32619/318623/43787/42476/34557/45248/49297/31955/34681/36747/5740840/59223/37047/34991",25
"GO:0022843","voltage-gated monoatomic cation channel activity","10/544","40/12387",6.32248719652237e-06,6.32248719652237e-06,0.000129111843802667,"37981/34921/32780/33028/33599/7354472/34557/31955/5740840/37047",10
"GO:0038023","signaling receptor activity","38/544","405/12387",8.16807159673347e-06,8.16807159673347e-06,0.000141517324886526,"39730/33062/41426/43414/3346209/33007/33196/42652/43729/43026/41726/42920/34826/39984/3346162/32849/40287/318623/40665/31017/37883/42476/35540/41017/44484/32976/42350/40575/35958/5740629/42258/3885573/35332/37892/33690/43182/42523/41772",38
"GO:0060089","molecular transducer activity","38/544","405/12387",8.16807159673347e-06,8.16807159673347e-06,0.000141517324886526,"39730/33062/41426/43414/3346209/33007/33196/42652/43729/43026/41726/42920/34826/39984/3346162/32849/40287/318623/40665/31017/37883/42476/35540/41017/44484/32976/42350/40575/35958/5740629/42258/3885573/35332/37892/33690/43182/42523/41772",38
"GO:0005244","voltage-gated monoatomic ion channel activity","11/544","50/12387",8.3159665139505e-06,8.3159665139505e-06,0.000141517324886526,"37981/34921/32780/33028/33599/7354472/40665/34557/31955/5740840/37047",11
"GO:0022832","voltage-gated channel activity","11/544","50/12387",8.3159665139505e-06,8.3159665139505e-06,0.000141517324886526,"37981/34921/32780/33028/33599/7354472/40665/34557/31955/5740840/37047",11
"GO:0022824","transmitter-gated monoatomic ion channel activity","10/544","45/12387",1.95186223675539e-05,1.95186223675539e-05,0.000306608318972102,"39730/41426/42920/34826/39984/318623/40665/42476/44484/42350",10
"GO:0022835","transmitter-gated channel activity","10/544","45/12387",1.95186223675539e-05,1.95186223675539e-05,0.000306608318972102,"39730/41426/42920/34826/39984/318623/40665/42476/44484/42350",10
"GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","11/544","55/12387",2.18248532275677e-05,2.18248532275677e-05,0.000330138130693811,"43660/31665/38468/38063/31070/41768/38995/40287/31430/34483/41363",11
