"","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008188","neuropeptide receptor activity","12/1867","45/12387",0.0309405860214216,0.0309405860214216,0.0926498097274343,"41638/42530/42523/43253/41713/40195/32803/3346150/2768688/31408/33942/32860",12
"GO:0019894","kinesin binding","5/1867","13/12387",0.0347304500277717,0.0347304500277717,0.102095931403847,"43824/41425/31179/38067/41852",5
"GO:0034593","phosphatidylinositol bisphosphate phosphatase activity","5/1867","13/12387",0.0347304500277717,0.0347304500277717,0.102095931403847,"37517/33845/31157/32629/42807",5
"GO:0072341","modified amino acid binding","5/1867","13/12387",0.0347304500277717,0.0347304500277717,0.102095931403847,"3355111/33473/39520/32290/33524",5
"GO:0019829","ATPase-coupled monoatomic cation transmembrane transporter activity","11/1867","41/12387",0.0363824717690915,0.0363824717690915,0.106304128039834,"38521/41550/49297/48971/43442/36826/45012/40679/31342/34997/43787",11
"GO:0019199","transmembrane receptor protein kinase activity","7/1867","22/12387",0.0375671401782044,0.0375671401782044,0.10910431326327,"35900/53425/34127/39564/42160/44096/37455",7
"GO:0099094","ligand-gated monoatomic cation channel activity","16/1867","67/12387",0.0379227396367987,0.0379227396367987,0.109477559115372,"31767/42742/34304/42473/8673965/43487/32928/34299/32468/40521/42920/34826/37614/40664/35394/42918",16
"GO:0015291","secondary active transmembrane transporter activity","24/1867","111/12387",0.0402520503116463,0.0402520503116463,0.115497362761797,"59223/42429/34268/33128/35915/34251/39587/40551/39410/31340/31317/34117/37983/39255/35111/45248/42481/37129/3354991/38429/41640/37427/36190/37772",24
"GO:0033218","amide binding","22/1867","100/12387",0.0404871213786169,0.0404871213786169,0.115497362761797,"38721/42530/3355111/42556/39028/43444/42557/41635/33492/43824/35336/40195/33260/40581/33524/38675/38782/43838/33942/246587/43463/38175",22
"GO:0008528","G protein-coupled peptide receptor activity","12/1867","47/12387",0.0423102028873827,0.0423102028873827,0.119988067631091,"41638/42530/42523/43253/41713/40195/32803/3346150/2768688/31408/33942/32860",12
"GO:0008375","acetylglucosaminyltransferase activity","6/1867","18/12387",0.0426516144929048,0.0426516144929048,0.120248934673748,"36614/39608/318981/3772101/43563/40314",6
"GO:0022804","active transmembrane transporter activity","46/1867","239/12387",0.0450670180933008,0.0450670180933008,0.126320038474491,"59223/42429/34268/38521/34140/33128/35915/34251/39587/40551/35242/39410/31340/41550/31317/49297/36768/34117/33541/33540/48971/37983/39255/43391/42362/43442/35111/45248/36826/42481/31271/45012/37129/43772/3354991/38429/40679/41640/39926/36583/37427/36190/31342/34997/37772/43787",46
"GO:1901505","carbohydrate derivative transmembrane transporter activity","7/1867","23/12387",0.0472028585928029,0.0472028585928029,0.12936610582792,"39876/43445/35915/35936/31271/43772/37427",7
"GO:0015605","organophosphate ester transmembrane transporter activity","5/1867","14/12387",0.0474954381986129,0.0474954381986129,0.12936610582792,"39876/35941/31271/43772/37427",5
"GO:0045309","protein phosphorylated amino acid binding","5/1867","14/12387",0.0474954381986129,0.0474954381986129,0.12936610582792,"38961/45278/32202/33840/41144",5
"GO:0061608","nuclear import signal receptor activity","5/1867","14/12387",0.0474954381986129,0.0474954381986129,0.12936610582792,"38721/35336/40581/33078/38675",5
"GO:1990782","protein tyrosine kinase binding","5/1867","14/12387",0.0474954381986129,0.0474954381986129,0.12936610582792,"38961/43130/45278/34169/32976",5
