"","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022836","gated channel activity","56/2553","199/12387",0.00655965351828137,0.00655965351828137,0.0272099811418451,"33599/34826/40964/41428/40664/8674091/40521/31955/37985/34299/34304/32428/8673965/39015/34557/49090/43487/31767/40157/36145/36589/37614/42350/43806/32780/42770/42742/5740840/34112/32468/43822/41426/37047/39730/36526/37953/34921/40152/37298/42918/38352/42940/37981/36095/39453/36694/35779/34950/42920/5740325/33028/38133/35394/7354472/34991/39054",56
"GO:0022839","monoatomic ion gated channel activity","56/2553","199/12387",0.00655965351828137,0.00655965351828137,0.0272099811418451,"33599/34826/40964/41428/40664/8674091/40521/31955/37985/34299/34304/32428/8673965/39015/34557/49090/43487/31767/40157/36145/36589/37614/42350/43806/32780/42770/42742/5740840/34112/32468/43822/41426/37047/39730/36526/37953/34921/40152/37298/42918/38352/42940/37981/36095/39453/36694/35779/34950/42920/5740325/33028/38133/35394/7354472/34991/39054",56
"GO:0061659","ubiquitin-like protein ligase activity","47/2553","162/12387",0.00662478153362916,0.00662478153362916,0.0272492119693725,"39735/32882/38715/39035/40040/43810/36999/33932/38652/39958/40555/31589/41080/42397/36990/326135/35170/45775/34453/317987/32796/32532/41145/318246/32765/42162/31628/38006/33565/39750/39558/35076/40144/38961/41420/36425/41085/39885/36541/31905/318953/5740853/38873/37857/31746/39217/41826",47
"GO:0003725","double-stranded RNA binding","10/2553","22/12387",0.00761078919402208,0.00761078919402208,0.031023223663541,"37065/39764/34751/34787/42322/31130/43728/43981/41529/38575",10
"GO:0042625","ATPase-coupled ion transmembrane transporter activity","13/2553","32/12387",0.00779583588190272,0.00779583588190272,0.031023223663541,"45012/36826/42341/43442/41550/38521/42216/31342/34997/44307/31235/40679/45668",13
"GO:0044769","ATPase activity, coupled to transmembrane movement of ions, rotational mechanism","13/2553","32/12387",0.00779583588190272,0.00779583588190272,0.031023223663541,"45012/36826/42341/43442/41550/38521/42216/31342/34997/44307/31235/40679/45668",13
"GO:0046961","proton-transporting ATPase activity, rotational mechanism","13/2553","32/12387",0.00779583588190272,0.00779583588190272,0.031023223663541,"45012/36826/42341/43442/41550/38521/42216/31342/34997/44307/31235/40679/45668",13
"GO:0008201","heparin binding","9/2553","19/12387",0.00812765334265279,0.00812765334265279,0.0318261794049141,"45973/36048/33972/31002/34192/37603/38047/36746/43832",9
"GO:0008376","acetylgalactosaminyltransferase activity","9/2553","19/12387",0.00812765334265279,0.00812765334265279,0.0318261794049141,"246627/36717/32836/261610/326151/43124/36079/38346/33512",9
"GO:0004383","guanylate cyclase activity","7/2553","13/12387",0.00828784778530332,0.00828784778530332,0.0319423888948698,"43493/8674026/41825/43682/39516/40153/34553",7
"GO:0036122","BMP binding","7/2553","13/12387",0.00828784778530332,0.00828784778530332,0.0319423888948698,"44096/33753/40288/42560/41772/34490/45280",7
"GO:0003727","single-stranded RNA binding","14/2553","36/12387",0.00914702041104595,0.00914702041104595,0.0349783264073714,"37345/3772180/31000/37646/31086/39764/32245/39683/39919/37070/37914/33968/38605/35788",14
