"","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","187/2553","481/12387",5.98651080471359e-21,5.98651080471359e-21,2.93023949914928e-18,"32723/35332/47285/41747/37973/35662/41273/43767/34569/40549/43152/44275/41423/32543/39228/38884/35430/4379817/43819/35813/41768/38638/45328/34000/37655/30982/36571/43725/36239/31913/43099/39935/44540/42034/31678/2768685/39419/34982/31802/42930/41069/47082/41182/37654/43825/43334/41160/35147/31162/40287/43660/40414/33823/40835/38012/37364/43769/40830/39349/35764/32613/33059/32114/38752/31353/31738/35398/32321/48785/42110/33606/44849/48317/43867/41848/37889/41266/42162/3772082/38912/35132/43782/38468/36032/40826/43924/30975/33602/38469/2768719/39821/44786/38072/37978/34277/47767/31429/32567/39682/34908/31991/33607/39567/5740414/37027/41363/40817/42413/33229/39569/38338/33770/41944/37379/35540/44669/34543/32943/41396/42952/40833/40940/39962/34903/33239/31379/40164/43833/43664/31430/31691/40398/34629/35227/30981/40990/43650/34483/41491/38766/32994/35480/33183/33010/35800/40370/33957/36424/43795/36171/42428/31384/35974/35770/34881/31391/37336/38451/31336/38062/36156/37546/42717/39441/38518/32536/43580/42544/38995/35509/31737/43174/47763/37038/34669/43570/45816/39091/36986/42767/45588/39697/34673/31070/31523/36073/33051",187
"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding","181/2553","483/12387",2.4777096572696e-18,2.4777096572696e-18,6.06386837173875e-16,"32723/35332/47285/41747/37973/35662/41273/43767/34569/40549/31722/43152/44505/44275/41423/32543/39228/4379817/43819/35813/31660/41768/38638/45328/34000/37655/30982/36571/43725/36239/31913/43099/39935/44540/42034/31678/2768685/39419/34982/31802/42930/41069/42638/41182/32517/37654/43825/41160/35147/31162/40287/43660/40414/33823/40835/43769/40830/39349/35764/33059/32114/38752/31353/31738/35398/32321/48785/42110/33606/44849/48317/43867/37889/41266/42162/3772082/32579/38912/35132/43782/38468/36032/43924/30975/33602/38469/2768719/44786/38072/37978/34277/37785/47767/31429/32567/39682/34908/33607/39567/5740414/37027/41363/40817/42413/38490/39569/33770/41944/37379/35540/44669/34543/32943/41396/40833/40940/34903/35404/33239/31379/43833/43664/31430/41217/40398/34629/35227/30981/40990/43650/34483/41491/38766/32994/35480/33183/33010/35800/40370/33957/36424/43795/36171/42428/31384/35770/34881/31391/37336/38451/31336/38062/37546/42717/39441/38518/32536/43580/42544/38995/35509/31737/43174/31773/47763/37038/34669/43570/45816/41355/32106/36986/42767/35066/45588/31027/39697/34673/31070/36073/33051",181
"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","150/2553","385/12387",4.29385328010572e-17,4.29385328010572e-17,6.96775933469077e-15,"35332/41747/37973/35662/41273/43767/34569/40549/43152/44275/41423/32543/39228/4379817/43819/35813/31660/41768/38638/45328/36571/43725/36239/31913/43099/39935/42034/31678/2768685/39419/34982/31802/41069/42638/41182/32517/37654/43825/41160/35147/31162/40287/43660/40414/33823/40835/43769/40830/39349/35764/33059/32114/38752/31353/31738/35398/32321/33606/44849/48317/43867/37889/41266/42162/3772082/38912/35132/43782/38468/36032/43924/30975/38469/2768719/44786/38072/37978/34277/37785/47767/31429/32567/39682/34908/33607/39567/5740414/41363/40817/42413/38490/39569/33770/41944/35540/44669/34543/41396/40833/40940/34903/35404/31379/43833/43664/31430/41217/34629/35227/40990/43650/34483/41491/38766/32994/35480/33183/33010/35800/36424/43795/36171/42428/31384/35770/34881/31391/37336/31336/37546/42717/39441/32536/42544/38995/47763/37038/34669/45816/41355/32106/36986/42767/35066/45588/39697/34673/31070/36073/33051",150
"GO:0000987","cis-regulatory region sequence-specific DNA binding","152/2553","393/12387",5.69408289716665e-17,5.69408289716665e-17,6.96775933469077e-15,"35332/41747/37973/35662/41273/43767/34569/40549/43152/44275/41423/32543/39228/4379817/43819/35813/31660/41768/38638/45328/36571/43725/36239/31913/43099/39935/42034/31678/2768685/39419/34982/31802/41069/42638/41182/32517/37654/43825/41160/35147/31162/40287/43660/40414/33823/40835/43769/40830/39349/35764/33059/32114/38752/31353/31738/35398/41265/32321/33606/44849/48317/43867/37889/41266/42162/3772082/38912/35132/43782/38468/36032/43924/30975/38469/2768719/44786/38072/37978/34277/37785/47767/31429/32567/39682/34908/33607/39567/5740414/41363/40817/42413/38490/39569/33770/41944/35540/44669/34543/41396/40833/40940/34903/35404/31379/43833/43664/31430/31691/41217/34629/35227/40990/43650/34483/41491/38766/32994/35480/33183/33010/35800/36424/43795/36171/42428/31384/35770/34881/31391/37336/31336/37546/42717/39441/32536/42544/38995/47763/37038/34669/45816/41355/32106/36986/42767/35066/45588/39697/34673/31070/36073/33051",152
"GO:0042802","identical protein binding","65/2553","148/12387",1.07639858939981e-10,1.07639858939981e-10,1.05373756646508e-08,"37386/32582/44355/43767/37345/41168/31760/39527/39018/41825/36619/37655/34665/42064/40616/35007/42934/32606/31802/35425/41182/36118/36284/33473/41704/39349/48785/48317/41848/36251/41625/33972/33824/37978/39936/42092/43728/35540/31110/49228/40833/44522/40940/33239/44703/42062/41151/41737/36363/41491/37247/41602/3772109/42438/36508/39441/32183/2769008/36283/33814/35070/2768716/37038/37552/38788",65
"GO:0042803","protein homodimerization activity","56/2553","123/12387",3.96710365820342e-10,3.96710365820342e-10,3.23632140537647e-08,"37386/32582/44355/43767/37345/31760/39527/41825/37655/34665/42064/40616/35007/31802/35425/41182/36118/36284/33473/41704/39349/48785/48317/41848/36251/41625/33972/33824/37978/39936/42092/35540/31110/49228/40833/44522/40940/33239/44703/42062/41151/41737/36363/41491/37247/41602/42438/36508/39441/32183/36283/33814/35070/2768716/37038/37552",56
"GO:0099106","ion channel regulator activity","20/2553","27/12387",3.51394554367138e-09,3.51394554367138e-09,2.45711981625142e-07,"40964/31955/38502/37132/39958/31211/14462605/33923/35814/2768718/32682/5740497/38504/39453/40391/31344/8674114/33028/43809/37040",20
"GO:0016247","channel regulator activity","22/2553","32/12387",5.54414999065603e-09,5.54414999065603e-09,3.3921444021777e-07,"40964/31955/38502/37132/39958/31211/5740676/14462605/33923/35814/2768718/32682/5740497/38504/39453/40391/318064/31344/8674114/33028/43809/37040",22
"GO:0008092","cytoskeletal protein binding","113/2553","341/12387",2.95494049039184e-08,2.95494049039184e-08,1.60707289828328e-06,"35680/38978/37386/41225/42871/33156/44100/32746/3346238/35130/45683/43824/39735/41425/31359/34850/34170/33501/37230/41852/2768680/38385/38438/37643/41656/32119/39958/31104/43015/35007/32049/31554/42889/37205/35596/35170/47729/35532/3771968/36072/39332/36311/35698/33622/35042/36740/37410/41848/44013/42379/40583/40961/35084/32979/34719/32478/35340/31620/38898/41353/41144/40319/31538/38490/39148/47594/40517/31110/43739/38059/35758/39813/42978/45931/32314/43737/48481/36683/31597/35051/32363/36876/40715/5740544/34073/36668/43901/42846/31816/39153/38306/36578/31729/42986/42665/37994/33444/40608/37749/35058/2768716/34519/38988/34882/31596/32760/40589/38491/41392/43310/40928/36329/36127",113
"GO:0050839","cell adhesion molecule binding","35/2553","70/12387",4.10977346785519e-08,4.10977346785519e-08,2.01162596058175e-06,"38978/33613/33619/318841/32275/41062/43654/44885/36284/31364/43197/44129/36773/41718/40620/32979/46015/43875/31290/39873/40517/50003/34830/36683/252671/36521/31816/35368/2769008/36283/35070/31151/34882/44097/38788",35
"GO:0001217","DNA-binding transcription repressor activity","30/2553","56/12387",5.10294704115498e-08,5.10294704115498e-08,2.27068935324121e-06,"47285/44505/39228/35430/41768/38638/37654/40287/43660/33823/31353/48317/38468/44786/31991/41363/42413/33770/34543/40940/34903/31430/34483/41491/35800/34881/38995/31737/31070/31523",30
"GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","29/2553","55/12387",1.34752245113719e-07,1.34752245113719e-07,5.49647315595431e-06,"47285/39228/35430/41768/38638/37654/40287/43660/33823/31353/48317/38468/44786/31991/41363/42413/33770/34543/40940/34903/31430/34483/41491/35800/34881/38995/31737/31070/31523",29
"GO:0004930","G protein-coupled receptor activity","48/2553","115/12387",1.96573880973499e-07,1.96573880973499e-07,7.40136474920462e-06,"32803/35832/42652/34878/43583/318914/41549/318046/41726/35846/2768909/33942/41713/2768688/38296/42452/31169/42530/43484/39966/31168/40195/37191/33248/36475/3346150/40955/34642/40019/38357/32860/40754/43182/43253/37892/42258/5740629/44126/33851/43838/32864/41017/33007/42523/40412/39389/41638/43146",48
"GO:0001216","DNA-binding transcription activator activity","41/2553","93/12387",2.5779728510053e-07,2.5779728510053e-07,8.52369610763612e-06,"47285/41273/43767/31722/32543/45328/30982/2768685/31802/41069/47082/43660/40414/43769/38752/3772082/35132/36032/37978/34277/47767/38338/41944/35540/40940/39962/33239/31430/32994/42428/35974/35770/34881/31391/43580/37038/34669/45816/42767/45588/34673",41
"GO:0038023","signaling receptor activity","126/2553","405/12387",2.78624044808751e-07,2.78624044808751e-07,8.52369610763612e-06,"35332/34826/32803/44355/35832/42652/40521/34878/43583/318914/41549/8674026/37715/44096/318046/40913/34304/41726/33753/35846/2768909/35259/43469/40090/39564/40912/39516/42656/40401/36445/33942/31162/40287/31767/43442/41713/2768688/33823/36703/40157/38296/32114/42452/36145/31169/42530/35398/34761/42350/43806/43414/43484/39966/31168/38912/40195/33972/37191/33248/36475/37556/3346150/37455/41772/31293/43822/53425/43875/40153/40955/41426/39730/37603/36790/35540/38354/39873/43222/42160/42956/44522/34642/40019/5740590/38357/32860/33062/40754/42918/43182/41491/43253/35958/38559/37892/42258/5740629/44126/40245/43832/33851/35644/43223/32849/43838/43729/8674066/32864/41017/33007/42523/39443/37716/34553/36283/42920/40412/39389/41104/41638/31425/35900/35394/43146/36073/39054",126
"GO:0060089","molecular transducer activity","126/2553","405/12387",2.78624044808751e-07,2.78624044808751e-07,8.52369610763612e-06,"35332/34826/32803/44355/35832/42652/40521/34878/43583/318914/41549/8674026/37715/44096/318046/40913/34304/41726/33753/35846/2768909/35259/43469/40090/39564/40912/39516/42656/40401/36445/33942/31162/40287/31767/43442/41713/2768688/33823/36703/40157/38296/32114/42452/36145/31169/42530/35398/34761/42350/43806/43414/43484/39966/31168/38912/40195/33972/37191/33248/36475/37556/3346150/37455/41772/31293/43822/53425/43875/40153/40955/41426/39730/37603/36790/35540/38354/39873/43222/42160/42956/44522/34642/40019/5740590/38357/32860/33062/40754/42918/43182/41491/43253/35958/38559/37892/42258/5740629/44126/40245/43832/33851/35644/43223/32849/43838/43729/8674066/32864/41017/33007/42523/39443/37716/34553/36283/42920/40412/39389/41104/41638/31425/35900/35394/43146/36073/39054",126
"GO:0005261","monoatomic cation channel activity","63/2553","168/12387",3.03429485327189e-07,3.03429485327189e-07,8.73651459301195e-06,"33599/34826/40964/40664/8674091/40521/31955/37985/34299/34304/32428/8673965/39015/34557/49090/32606/43487/31767/36589/37614/7354434/39761/43806/32780/42770/42742/5740840/34112/46069/32468/43822/59223/40551/37047/36526/3354991/37953/34921/40152/37298/42918/38352/42940/45248/37981/42291/8674066/38504/39453/36694/35779/32619/34950/42920/5740325/39720/33028/42759/37040/38133/35394/7354472/34991",63
"GO:0019899","enzyme binding","134/2553","438/12387",3.38558755935455e-07,3.38558755935455e-07,8.76514335307783e-06,"33338/35121/33156/44100/44355/40102/33003/31181/43767/38844/41425/42646/40231/40342/31404/35950/37820/40785/41852/39810/34896/41825/43856/39588/39328/44672/36041/42150/35442/39385/40032/36990/39430/31945/41861/46456/43442/34169/3771968/32796/43130/43769/41704/33203/36311/43091/44531/32532/38337/34761/34420/45278/42817/38505/35895/31497/32002/33638/36032/40620/33139/40693/38591/38244/39329/31902/43277/38456/41427/31293/35340/43319/37864/38961/35287/37524/31639/32898/42216/37403/39885/33218/32850/34096/41034/42515/36299/32981/31564/40410/41151/38714/34250/41783/41737/41911/36673/31597/41072/40009/3346167/42055/35051/38879/31942/44496/5740544/38178/59144/3354888/32256/40685/32088/41320/34881/38412/34425/33881/37702/36643/35420/37536/31746/43315/43434/33814/40201/38988/31151/42005/49070/35336/39206/37134",134
"GO:0022843","voltage-gated monoatomic cation channel activity","23/2553","40/12387",3.40238360264634e-07,3.40238360264634e-07,8.76514335307783e-06,"33599/40964/8674091/31955/32428/34557/36589/32780/42770/42742/5740840/37047/36526/34921/37298/38352/37981/39453/34950/5740325/33028/38133/7354472",23
"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","40/2553","91/12387",3.95827617033562e-07,3.95827617033562e-07,9.68736010108455e-06,"47285/41273/43767/32543/45328/30982/2768685/31802/41069/47082/43660/40414/43769/38752/3772082/35132/36032/37978/34277/47767/38338/41944/35540/40940/39962/33239/31430/32994/42428/35974/35770/34881/31391/43580/37038/34669/45816/42767/45588/34673",40
"GO:0008324","monoatomic cation transmembrane transporter activity","99/2553","303/12387",4.48207311662502e-07,4.48207311662502e-07,1.04469373395019e-05,"33599/34826/48971/40964/40664/45012/31082/8674091/40521/31955/37985/34299/34304/36826/32428/49297/42341/8673965/39015/34557/49090/32606/43487/8674000/318916/32142/31767/43442/42481/36589/37614/7354434/39761/43806/32780/42770/42742/31317/39255/5740840/41550/34112/46069/32468/38521/39939/43822/59223/40551/35111/42216/37047/31342/34863/36526/43787/34997/3354991/37953/34921/35513/40152/37772/34251/37298/42918/44307/31235/38352/36273/37157/42940/34890/45248/37981/42291/8674066/38504/40679/39453/41342/45668/36694/35779/36190/32619/34950/42920/5740325/39720/39410/33028/42759/37040/38133/35394/35915/7354472/34991",99
"GO:0005102","signaling receptor binding","89/2553","266/12387",5.39246598822444e-07,5.39246598822444e-07,1.19975917919826e-05,"38978/35332/33995/34007/36104/36054/32999/246538/33619/42646/53554/34170/59235/32813/42683/8674026/40913/35956/32275/34981/38993/42801/35259/39150/35975/32080/40912/39958/31589/44885/42567/36564/34169/43130/43804/42560/36295/34761/39151/45278/37921/31712/35078/33972/35922/32979/42101/34510/31970/33994/37007/38961/43875/34192/33782/35540/36384/38047/37468/38434/3346149/41170/36746/36683/45280/3346167/45845/38879/42313/36937/246525/42428/40084/33944/42676/39833/35368/64880/3346202/31746/36283/34009/41104/48973/42709/34688/42737/38723/43146",89
"GO:0016773","phosphotransferase activity, alcohol group as acceptor","96/2553","295/12387",8.18215506521414e-07,8.18215506521414e-07,1.74128242806617e-05,"42621/37152/43651/3885567/43428/31826/34348/31722/38017/38654/32207/35950/44096/33753/42836/38890/40384/39564/32080/42064/44672/40165/34132/40527/37233/45821/40670/36445/42567/36706/45374/318206/41020/34012/33965/38433/44750/40936/32771/31248/33139/34300/42894/39031/39479/37455/39329/41772/40143/33948/53425/40560/31607/43875/48311/43792/39241/41362/3355134/47594/33742/42160/326219/31598/40385/32097/37089/38070/32585/3885565/38559/48448/37247/39732/38411/41957/3354888/33431/40653/32256/38221/46234/40391/44233/39555/41118/36283/43794/35417/36727/48973/326168/43828/37033/35900/32191",96
"GO:0005543","phospholipid binding","55/2553","146/12387",1.42398209189319e-06,1.42398209189319e-06,2.82060735283809e-05,"3885642/42632/39258/32746/32290/37119/40664/40544/31803/35956/41074/40649/8673965/38846/35425/33473/34012/32002/42797/42265/39329/31902/35340/38534/41353/2768718/35993/41085/34543/43841/41551/33466/35758/40863/40152/36683/37011/38879/31224/31105/37218/5740131/42371/31704/39052/31816/43783/38306/35929/41118/42665/32340/35058/2768716/43310",55
"GO:0015459","potassium channel regulator activity","11/2553","13/12387",1.44063278773989e-06,1.44063278773989e-06,2.82060735283809e-05,"40964/31955/31211/33923/35814/2768718/32682/39453/40391/33028/43809",11
"GO:0008134","transcription factor binding","57/2553","154/12387",1.7819398159105e-06,1.7819398159105e-06,3.35466402590438e-05,"35332/35662/41273/34064/43767/40549/33212/31660/45976/33761/45328/43856/30982/34969/42034/35552/35147/40287/43769/33225/32114/32321/44849/3772082/38643/33565/34225/47767/117294/31429/32567/42092/34908/32461/31251/38338/33770/41944/35540/33218/39198/38070/38082/36390/41602/34242/3354888/34430/36171/43862/34881/32536/38995/31773/43928/31151/31027",57
"GO:0015318","inorganic molecular entity transmembrane transporter activity","103/2553","332/12387",3.88816609643697e-06,3.88816609643697e-06,7.04872216313134e-05,"33599/48971/40964/41428/40664/45012/31082/8674091/31955/37985/34299/36826/32428/49297/42341/32148/8673965/39015/34557/49090/32606/43487/8674000/32142/43442/31071/42481/39587/36145/36589/7354434/39761/42350/36651/43806/32780/42770/42742/41640/31317/39255/5740840/41550/46069/38521/39939/43822/59223/38727/41426/40551/35111/39367/42216/37047/39730/31342/36526/43787/34997/3354991/37953/34921/32786/35513/32645/37772/34251/36865/37298/44307/31235/38352/36273/42940/34890/45248/37981/42291/8674066/38504/40679/39453/41342/45668/36694/36190/32619/34950/43636/53431/5740325/39720/39410/33028/42759/37040/38133/35394/35915/7354472/34991/39054",103
"GO:0019900","kinase binding","42/2553","105/12387",4.20348291483031e-06,4.20348291483031e-06,7.34819381727855e-05,"33156/44100/44355/43767/42646/40342/31404/41852/44672/36041/36990/31945/34169/3771968/43130/43769/33203/44531/34761/45278/38505/33139/38244/41427/43319/38961/33218/34096/41034/42515/32981/34250/41783/5740544/3354888/32256/38412/34425/36643/40201/31151/49070",42
"GO:0015079","potassium ion transmembrane transporter activity","29/2553","63/12387",5.02556688904433e-06,5.02556688904433e-06,8.23863148575845e-05,"33599/48971/40964/31082/8674091/31955/32428/32606/36589/43806/32780/42770/42742/5740840/43822/40551/35111/37047/3354991/38352/42940/45248/39453/5740325/39410/33028/38133/35394/7354472",29
"GO:0005509","calcium ion binding","69/2553","203/12387",5.36740730187651e-06,5.36740730187651e-06,8.23863148575845e-05,"43126/37386/32290/3885646/40664/43824/42465/36905/326235/3355126/34542/32165/318824/41786/41341/31554/42463/46456/41665/33473/42481/31376/36048/42348/41302/38145/42733/36773/47764/32552/246577/32063/39165/42357/35473/33477/38169/39936/42845/31293/38961/49968/43875/3771890/43841/43118/36771/44643/32799/35799/36746/40169/32314/33752/40810/42313/37232/32797/40224/43783/35378/32619/35070/35058/36089/32620/42737/8674055/36329",69
"GO:0016301","kinase activity","111/2553","366/12387",5.38291246632522e-06,5.38291246632522e-06,8.23863148575845e-05,"39396/37152/43651/3772506/3885567/43428/31826/246521/34348/31722/38017/38654/32207/43057/39029/35950/32083/44096/33753/42836/38890/40384/39564/32080/42064/44672/40165/34132/40527/37233/45821/40670/36445/317907/3346225/33137/42567/36706/45374/318206/41020/34012/33965/38433/44750/40936/32771/31248/33139/34300/43052/42894/39031/39479/37455/39329/41772/40143/33948/53425/40560/31607/43875/48311/43792/39241/41362/3355134/47594/33742/42160/326219/43739/31598/40385/33459/32097/37089/38070/32585/3885565/38559/48448/37247/40640/39732/38411/41957/3354888/33431/40653/32256/38221/46234/39213/40391/44233/39555/41118/36283/43794/35417/43647/36727/48973/326168/43828/44861/37033/35900/32191",111
"GO:1901702","salt transmembrane transporter activity","85/2553","264/12387",5.52098740915829e-06,5.52098740915829e-06,8.23863148575845e-05,"33599/48971/40964/41428/40664/31082/8674091/31955/37985/34299/32428/49297/32148/8673965/39015/39662/34557/49090/32606/43487/8674000/32142/31071/42481/36145/36589/42350/43806/32780/42770/42742/31271/41640/31317/39255/5740840/39939/43822/59223/38727/41426/40551/35111/39367/37047/39730/36526/43787/3354991/37953/34921/35513/32645/37772/34251/37298/38352/36273/42940/34890/45248/37981/36630/38504/39453/41342/36694/36190/32619/34950/43636/53431/5740325/39720/39410/33028/42795/37040/38133/35394/42268/35915/7354472/34991/39054",85
"GO:0030695","GTPase regulator activity","60/2553","170/12387",5.72274832236555e-06,5.72274832236555e-06,8.23863148575845e-05,"33338/35609/33156/41749/32874/41252/43974/33048/37037/34790/35267/34803/5740235/41341/36656/39385/35425/40179/36698/42817/42137/43149/40205/38454/33840/36881/41427/33046/32898/32674/40410/35306/36554/53569/34142/32729/38879/31224/34264/35588/38178/41390/35359/42371/43832/32088/34030/35929/33881/43758/32442/42665/39693/40608/40201/31874/33263/36641/37134/34032",60
"GO:0060589","nucleoside-triphosphatase regulator activity","60/2553","170/12387",5.72274832236555e-06,5.72274832236555e-06,8.23863148575845e-05,"33338/35609/33156/41749/32874/41252/43974/33048/37037/34790/35267/34803/5740235/41341/36656/39385/35425/40179/36698/42817/42137/43149/40205/38454/33840/36881/41427/33046/32898/32674/40410/35306/36554/53569/34142/32729/38879/31224/34264/35588/38178/41390/35359/42371/43832/32088/34030/35929/33881/43758/32442/42665/39693/40608/40201/31874/33263/36641/37134/34032",60
"GO:0140297","DNA-binding transcription factor binding","37/2553","91/12387",9.9068057374721e-06,9.9068057374721e-06,0.000138546305802241,"35332/34064/43767/33212/31660/45976/45328/43856/30982/34969/35552/35147/40287/43769/33225/44849/3772082/38643/34225/47767/117294/32567/34908/38338/35540/33218/38070/38082/36390/41602/34242/3354888/36171/34881/43928/31151/31027",37
"GO:0004672","protein kinase activity","72/2553","219/12387",1.26989989403802e-05,1.26989989403802e-05,0.000165346671670664,"37152/43651/3885567/43428/34348/31722/38017/38654/32207/35950/44096/33753/38890/40384/39564/32080/42064/44672/40165/34132/40527/37233/45821/36445/42567/36706/318206/41020/34012/33965/38433/32771/31248/33139/37455/41772/40143/33948/53425/40560/31607/43875/48311/43792/39241/41362/3355134/47594/42160/31598/40385/32097/37089/38070/38559/48448/37247/39732/41957/3354888/40653/32256/40391/44233/41118/36283/43794/36727/48973/43828/35900/32191",72
"GO:0009975","cyclase activity","16/2553","27/12387",1.27209071067816e-05,1.27209071067816e-05,0.000165346671670664,"32406/31175/38285/43493/8674026/41825/43682/39516/34689/40333/39835/53432/40153/40180/34553/35419",16
"GO:0005244","voltage-gated monoatomic ion channel activity","24/2553","50/12387",1.34815074592199e-05,1.34815074592199e-05,0.000165346671670664,"33599/40964/41428/8674091/31955/32428/34557/36589/32780/42770/42742/5740840/37047/36526/34921/37298/38352/37981/39453/34950/5740325/33028/38133/7354472",24
"GO:0022832","voltage-gated channel activity","24/2553","50/12387",1.34815074592199e-05,1.34815074592199e-05,0.000165346671670664,"33599/40964/41428/8674091/31955/32428/34557/36589/32780/42770/42742/5740840/37047/36526/34921/37298/38352/37981/39453/34950/5740325/33028/38133/7354472",24
"GO:0005267","potassium channel activity","22/2553","44/12387",1.35122011257747e-05,1.35122011257747e-05,0.000165346671670664,"33599/40964/8674091/31955/32428/32606/36589/43806/32780/42770/42742/5740840/43822/37047/38352/42940/39453/5740325/33028/38133/35394/7354472",22
"GO:0001221","transcription coregulator binding","14/2553","22/12387",1.42572623882815e-05,1.42572623882815e-05,0.000170208652388983,"41273/40549/33761/42034/43769/31429/31251/33770/41944/35540/41602/34242/32536/38995",14
"GO:0022890","inorganic cation transmembrane transporter activity","85/2553","274/12387",2.6663909384509e-05,2.6663909384509e-05,0.000310744808616458,"33599/48971/40964/40664/45012/31082/8674091/31955/37985/34299/36826/32428/49297/42341/8673965/39015/34557/49090/32606/43487/8674000/32142/43442/42481/36589/7354434/39761/43806/32780/42770/42742/31317/39255/5740840/41550/46069/38521/39939/43822/59223/40551/35111/42216/37047/31342/36526/43787/34997/3354991/37953/34921/35513/37772/34251/37298/44307/31235/38352/36273/42940/34890/45248/37981/42291/8674066/38504/40679/39453/41342/45668/36694/36190/32619/34950/5740325/39720/39410/33028/42759/37040/38133/35394/35915/7354472/34991",85
"GO:0005249","voltage-gated potassium channel activity","17/2553","31/12387",2.7741824168523e-05,2.7741824168523e-05,0.000315788206569479,"33599/40964/8674091/31955/32428/36589/32780/42770/42742/5740840/37047/38352/39453/5740325/33028/38133/7354472",17
"GO:0046873","metal ion transmembrane transporter activity","66/2553","202/12387",3.57334638342915e-05,3.57334638342915e-05,0.000397513413467596,"33599/48971/40964/40664/31082/8674091/31955/37985/34299/32428/49297/8673965/39015/34557/49090/32606/43487/8674000/32142/42481/36589/43806/32780/42770/42742/31317/39255/5740840/39939/43822/59223/40551/35111/37047/36526/43787/3354991/37953/34921/35513/37772/34251/37298/38352/36273/42940/34890/45248/37981/38504/39453/41342/36694/36190/32619/34950/5740325/39720/39410/33028/37040/38133/35394/35915/7354472/34991",66
"GO:0140677","molecular function activator activity","90/2553","297/12387",4.20918493707638e-05,4.20918493707638e-05,0.000457841168594272,"33338/33995/34007/33156/36054/40964/32999/45922/246538/41749/32874/41252/38017/59235/32813/33048/31955/39150/37037/35975/35267/34803/5740235/41341/31554/39385/33214/34974/41675/36698/38204/43804/42560/36295/35698/33953/41912/39151/37921/43149/31712/40233/42101/34510/33994/37007/35287/33046/2768718/34192/32898/38047/33952/41034/32799/3346149/43312/41170/32674/34250/36554/45845/38879/40702/35408/41390/35359/42371/43832/42313/36937/32797/32088/39453/44233/43758/3346202/39693/35378/40201/34009/42709/39858/33028/32274/31011/42737/33263/43146/34032",90
"GO:0019904","protein domain specific binding","32/2553","80/12387",5.66753948771093e-05,5.66753948771093e-05,0.00059787231305444,"33003/35956/35259/40090/39958/42034/43654/36118/36224/31332/48317/41848/37767/41718/40620/39329/31293/41353/38961/37201/31290/38321/43222/49228/44703/53569/40009/42371/64880/32536/2768716/37729",32
"GO:0030276","clathrin binding","14/2553","24/12387",5.74085995223242e-05,5.74085995223242e-05,0.00059787231305444,"42632/32290/41150/32987/38846/31842/33473/42835/31902/41744/40863/35051/43783/33211",14
"GO:0019901","protein kinase binding","34/2553","87/12387",5.90284529644919e-05,5.90284529644919e-05,0.000600497199989065,"33156/44100/44355/43767/42646/31404/41852/44672/36041/36990/31945/34169/3771968/43130/44531/34761/45278/38505/33139/38244/43319/38961/34096/41034/42515/32981/34250/3354888/32256/38412/34425/36643/40201/49070",34
"GO:0004888","transmembrane signaling receptor activity","101/2553","344/12387",6.01142895903032e-05,6.01142895903032e-05,0.000600497199989065,"34826/32803/44355/35832/42652/40521/34878/43583/318914/41549/37715/44096/318046/34304/41726/33753/35846/2768909/35259/43469/40090/39564/40401/36445/33942/31767/41713/2768688/36703/40157/38296/42452/36145/31169/42530/34761/42350/43806/43484/39966/31168/40195/37191/33248/36475/37556/3346150/37455/41772/31293/43822/53425/43875/40955/41426/39730/37603/36790/38354/43222/42160/42956/44522/34642/40019/5740590/38357/32860/40754/42918/43182/43253/35958/38559/37892/42258/5740629/44126/40245/43832/33851/35644/32849/43838/8674066/32864/41017/33007/42523/39443/37716/36283/42920/40412/39389/41638/31425/35900/35394/43146/39054",101
"GO:0003779","actin binding","45/2553","127/12387",7.25591940928134e-05,7.25591940928134e-05,0.00071031632111912,"35680/38978/41225/32746/3346238/31359/34850/34170/37230/41852/2768680/38438/32119/35007/42889/37205/35596/3771968/35042/36740/44013/35084/32979/34719/35340/31620/38898/41144/38490/39148/40517/35758/45931/5740544/31816/38306/42986/33444/37749/35058/2768716/34519/38988/34882/31596",45
"GO:0004713","protein tyrosine kinase activity","16/2553","30/12387",7.51300375000979e-05,7.51300375000979e-05,0.000721062279412704,"39564/32080/34132/37233/45821/36445/33965/37455/53425/43875/42160/38070/38559/41118/36283/48973",16
"GO:0015075","monoatomic ion transmembrane transporter activity","113/2553","397/12387",9.48078634465454e-05,9.48078634465454e-05,0.000892422196409789,"33599/34826/48971/40964/41428/40664/45012/31082/8674091/40521/31955/37985/34299/34304/36826/32428/49297/42341/32148/8673965/39015/34557/49090/32606/43487/8674000/318916/32142/31767/43442/31071/42481/40157/40080/36145/36589/37614/7354434/39761/42350/43806/32780/42770/42742/31317/39255/5740840/41550/34112/46069/32468/38521/39939/43822/59223/38727/41426/40551/35111/42216/37047/39730/31342/34863/36526/43787/34997/3354991/37953/34921/35513/32645/40152/37772/34251/37298/42918/44307/31235/38352/36273/37157/42940/34890/45248/37981/42291/36095/8674066/38504/40679/39453/41342/45668/36694/35779/36190/32619/34950/42920/53431/5740325/39720/39410/33028/42759/37040/38133/35394/35915/7354472/34991/39054",113
